team_id,team_name,team_seed,team_region,playin_flag,team_alive,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,win_odds,timestamp
331,Eastern Washington,13,South,0,1,1,0.226081899,0.033116214,0.002623431,0.000279489,2.16851E-05,1.00582E-06,994210.501977,3/19/2015 10:54
2567,Southern Methodist,6,South,0,1,1,0.642861058,0.24056284,0.101689449,0.042571625,0.012315002,0.002259629,441.550428773,3/19/2015 10:54
26,UCLA,11,South,0,1,1,0.357138942,0.094647117,0.027523414,0.008136212,0.001778248,0.00024162,4137.72606343,3/19/2015 10:54
66,Iowa State,3,South,0,1,1,0.907896808,0.640838638,0.316751606,0.153423495,0.065764129,0.018827101,52.1149220238,3/19/2015 10:54
5,UAB,14,South,0,1,1,0.092103192,0.023951405,0.003198631,0.000463332,5.46843E-05,3.91046E-06,255723.297687,3/19/2015 10:54
2294,Iowa,7,South,0,1,1,0.623859883,0.13846929,0.061129029,0.023565058,0.008288411,0.001901166,524.993110446,3/19/2015 10:54
2166,Davidson,10,South,0,1,1,0.376140117,0.056703921,0.020539389,0.006463176,0.001827418,0.000329571,3033.24322049,3/19/2015 10:54
2250,Gonzaga,2,South,0,1,1,0.974276799,0.799684775,0.468532036,0.243233883,0.104132313,0.029694083,32.676743413,3/19/2015 10:54
2449,North Dakota State,15,South,0,1,1,0.025723201,0.005142013,0.000636445,6.85469E-05,6.49113E-06,3.71922E-07,2688733.91339,3/19/2015 10:54
222,Villanova,1,East,0,1,1,0.98493765,0.839207965,0.699631899,0.463327753,0.287552379,0.10953718,8.12932027715,3/19/2015 10:54
322,Lafayette,16,East,0,1,1,0.01506235,0.002653097,0.000553834,5.57266E-05,5.09393E-06,2.01109E-07,4972426.50939,3/19/2015 10:54
152,North Carolina State,8,East,0,1,1,0.589299423,0.104244815,0.055535159,0.01856499,0.006460323,0.001148178,869.944760675,3/19/2015 10:54
99,LSU,9,East,0,1,1,0.410700577,0.053894123,0.024845793,0.006823735,0.002152853,0.00034069,2934.21916439,3/19/2015 10:54
2460,Northern Iowa,5,East,0,1,1,0.752684556,0.424877553,0.100795868,0.03517635,0.013925546,0.002900137,343.811290828,3/19/2015 10:54
2751,Wyoming,12,East,0,1,1,0.247315444,0.082486791,0.006708799,0.000950463,0.000162292,1.26129E-05,79283.0934619,3/19/2015 10:54
97,Louisville,4,East,0,1,1,0.744975249,0.409111524,0.105801715,0.039608972,0.017770078,0.00435079,228.84330389,3/19/2015 10:54
300,UC Irvine,13,East,0,1,1,0.255024751,0.083524132,0.006126933,0.000792598,0.000123568,8.67176E-06,115315.821654,3/19/2015 10:54
2507,Providence,6,East,0,1,1,0.513612635,0.208248346,0.068033917,0.021880263,0.007482093,0.001301106,767.577062638,3/19/2015 10:54
68,Boise State,11a,East,1,0,0,0,0,0,0,0,0,--,3/19/2015 10:54
2168,Dayton,11b,East,1,1,1,0.486387365,0.191097193,0.043537892,0.010093992,0.003419082,0.000587054,1702.42218792,3/19/2015 10:54
201,Oklahoma,3,East,0,1,1,0.901897813,0.579873083,0.222516268,0.08258511,0.039408345,0.010437226,94.8109024811,3/19/2015 10:54
399,Albany,14,East,0,1,1,0.098102187,0.020781379,0.002583305,0.000354788,4.9073E-05,3.02953E-06,330083.066264,3/19/2015 10:54
127,Michigan State,7,East,0,1,1,0.622451894,0.181358985,0.104379997,0.040019512,0.01976612,0.005505402,180.63978405,3/19/2015 10:54
61,Georgia,10,East,0,1,1,0.377548106,0.078439477,0.032233457,0.008179692,0.002809312,0.000493173,2026.68512548,3/19/2015 10:54
258,Virginia,2,East,0,1,1,0.963731659,0.733605892,0.525488797,0.271454937,0.170890767,0.066622626,14.0099156603,3/19/2015 10:54
2057,Belmont,15,East,0,1,1,0.036268341,0.006595647,0.001226367,0.00013112,2.24783E-05,1.7709E-06,564682.815307,3/19/2015 10:54
