team_name,team_index,rd1_prob,rd2_prob,rd3_prob,rd4_prob,rd5_prob,rd6_prob,rd1_act,rd2_act,rd3_act,rd4_act,rd5_act,rd6_act,rd1_chalk,rd2_chalk,rd3_chalk,rd4_chalk,rd5_chalk,rd6_chalk,team_rating,team_region,team_seed
Notre Dame,40,0.6621377,0.22555949,0.10159822,0.02657896,0.00939384,0.00338368,1,1,1,0,0,0,1,0,0,0,0,0,84.36,East,6
Michigan,41,0.3378623,0.08047189,0.02693656,0.00502492,0.001283,0.00034502,0,0,0,0,0,0,0,0,0,0,0,0,80.31,East,11
West Virginia,42,0.84810393,0.63096464,0.39903223,0.16187002,0.07450766,0.0340155,0,0,0,0,0,0,1,1,1,0,0,0,89.3,East,3
Stephen F. Austin,43,0.15189607,0.06300398,0.02019563,0.00359288,0.00126815,0.00045624,1,0,0,0,0,0,0,0,0,0,0,0,80.98,East,14
Wisconsin,44,0.62883547,0.27120281,0.10948081,0.02892077,0.01061207,0.003953,1,1,0,0,0,0,1,0,0,0,0,0,84.75,East,7
Pittsburgh,45,0.37116453,0.12546356,0.04767579,0.01175459,0.00354404,0.00110705,0,0,0,0,0,0,0,0,0,0,0,0,82.29,East,10
Xavier,46,0.94127341,0.59532198,0.29425898,0.09868511,0.04220385,0.0180339,1,0,0,0,0,0,1,1,0,0,0,0,87.73,East,2
Weber State,47,0.05872659,0.00801166,0.00082179,5.07E-05,6.02E-06,8.00E-07,0,0,0,0,0,0,0,0,0,0,0,0,73.28,East,15
Virginia,48,0.98257765,0.80380925,0.51767831,0.30355732,0.17230512,0.09786082,1,1,1,0,0,0,1,1,1,0,0,0,92.46,Midwest,1
Hampton,49,0.01742235,0.00193607,0.00010849,6.24E-06,3.50E-07,2.00E-08,0,0,0,0,0,0,0,0,0,0,0,0,68.61,Midwest,16
Texas Tech,50,0.33060551,0.04701794,0.01374853,0.00382012,0.00119691,0.00040254,0,0,0,0,0,0,0,0,0,0,0,0,81.27,Midwest,8
Butler,51,0.66939449,0.14723674,0.06305958,0.02494155,0.00842719,0.00302904,1,0,0,0,0,0,1,0,0,0,0,0,84.17,Midwest,9
Purdue,52,0.8419116,0.51862565,0.24470148,0.12956658,0.05805646,0.02673775,0,0,0,0,0,0,1,1,0,0,0,0,88.68,Midwest,5
Arkansas-Little Rock,53,0.1580884,0.04770128,0.00826443,0.00191855,0.00048303,0.0001338,1,0,0,0,0,0,0,0,0,0,0,0,78.9,Midwest,12
Iowa State,54,0.84070229,0.40173385,0.14743067,0.06397299,0.02510869,0.01029428,1,1,0,0,0,0,1,0,0,0,0,0,86.5,Midwest,4
Iona,55,0.15929771,0.03193922,0.0050085,0.00106553,0.00021057,4.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,78.22,Midwest,13
Seton Hall,56,0.39818101,0.1714058,0.05331916,0.01819683,0.00630813,0.00231913,0,0,0,0,0,0,0,0,0,0,0,0,84.46,Midwest,6
Gonzaga,57,0.60181899,0.30534,0.09376385,0.03161595,0.01167834,0.00453969,1,1,0,0,0,0,1,0,0,0,0,0,85.96,Midwest,11
Utah,58,0.87009917,0.4955672,0.15469945,0.05296992,0.02033589,0.00817745,1,0,0,0,0,0,1,1,0,0,0,0,86.64,Midwest,3
Fresno State,59,0.12990083,0.027687,0.00311017,0.00039728,6.53E-05,1.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,76.61,Midwest,14
Dayton,60,0.52355784,0.11287306,0.05315441,0.01567429,0.00449541,0.00139816,0,0,0,0,0,0,1,0,0,0,0,0,82.37,Midwest,7
Syracuse,61,0.47644216,0.09734414,0.04430409,0.01255474,0.00360305,0.00112126,1,1,1,1,0,0,0,0,0,0,0,0,82.69,Midwest,10
Michigan State,62,0.9485191,0.77629788,0.59476162,0.33937835,0.17278542,0.08906482,0,0,0,0,0,0,1,1,1,1,0,0,91.84,Midwest,2
Middle Tennessee,63,0.0514809,0.01348492,0.00288726,0.00036377,5.34E-05,9.07E-06,1,0,0,0,0,0,0,0,0,0,0,0,75.02,Midwest,15
