team_name,team_index,rd1_prob,rd2_prob,rd3_prob,rd4_prob,rd5_prob,rd6_prob,rd1_act,rd2_act,rd3_act,rd4_act,rd5_act,rd6_act,rd1_chalk,rd2_chalk,rd3_chalk,rd4_chalk,rd5_chalk,rd6_chalk,team_rating,team_region,team_seed
Alabama,0,0.985786649,0.81932799,0.654064523,0.452827125,0.30487252,0.161726457,1,1,0,0,0,0,1,1,1,1,1,0,92.57,South,1
Texas A&M-Corpus Christi,1,0.014213351,0.001363469,0.000177692,1.76E-05,2.69E-06,3.14E-07,0,0,0,0,0,0,0,0,0,0,0,0,70.59,South,16
Maryland,2,0.508126528,0.092010738,0.055011425,0.026282105,0.011809736,0.003990813,1,0,0,0,0,0,1,0,0,0,0,0,84.5,South,8
West Virginia,3,0.491873472,0.087297803,0.052340705,0.025089199,0.011078882,0.003677024,0,0,0,0,0,0,0,0,0,0,0,0,84.15,South,9
San Diego State,4,0.669242707,0.385298635,0.102093872,0.046230055,0.022751934,0.008457174,1,1,1,1,1,0,1,1,0,0,0,0,86.04,South,5
College of Charleston,5,0.330757293,0.145341635,0.023804891,0.007526862,0.00240677,0.000577742,0,0,0,0,0,0,0,0,0,0,0,0,79.77,South,12
Virginia,6,0.721410838,0.375305749,0.098587428,0.044370374,0.019299157,0.006306426,0,0,0,0,0,0,1,0,0,0,0,0,83.81,South,4
Furman,7,0.278589162,0.094053981,0.013919464,0.004060339,0.001157408,0.000248236,1,0,0,0,0,0,0,0,0,0,0,0,78.23,South,13
Creighton,8,0.785335862,0.457925503,0.260874761,0.110841792,0.060186493,0.024875459,1,1,1,0,0,0,1,1,0,0,0,0,87.56,South,6
North Carolina State,9,0.214664138,0.073063974,0.02958466,0.008667541,0.003287805,0.00093511,0,0,0,0,0,0,0,0,0,0,0,0,81.44,South,11
Baylor,10,0.889010974,0.451153926,0.241321565,0.095414591,0.056141737,0.025383875,1,0,0,0,0,0,1,0,0,0,0,0,87.13,South,3
UC-Santa Barbara,11,0.110989026,0.017856597,0.003037756,0.00037489,7.96E-05,1.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,75.52,South,14
Missouri,12,0.359265361,0.09164939,0.033308577,0.009685884,0.003949905,0.00120851,1,0,0,0,0,0,0,0,0,0,0,0,81.39,South,7
Utah State,13,0.640734639,0.220408522,0.078826166,0.022567951,0.009453757,0.002972573,0,0,0,0,0,0,1,0,0,0,0,0,83.48,South,10
Arizona,14,0.935394107,0.674503558,0.350618916,0.145682001,0.083558196,0.036703225,0,0,0,0,0,0,1,1,1,0,0,0,89,South,2
Princeton,15,0.064605893,0.013438531,0.002427598,0.000361674,7.55E-05,1.20E-05,1,1,0,0,0,0,0,0,0,0,0,0,75.41,South,15
Purdue,16,0.98329316,0.693803982,0.406725654,0.253038024,0.11974324,0.05293929,0,0,0,0,0,0,1,1,1,1,0,0,89.48,East,1
Fairleigh Dickinson,17,0.01670684,0.00098689,7.85E-05,8.22E-06,3.88E-07,1.97E-08,1,0,0,0,0,0,0,0,0,0,0,0,66.93,East,16
Memphis,18,0.641222075,0.216869979,0.099661924,0.050661219,0.019752164,0.007306046,0,0,0,0,0,0,1,0,0,0,0,0,84.93,East,8
Florida Atlantic,19,0.358777925,0.088339149,0.033996939,0.014898816,0.004997026,0.001611072,1,1,1,1,0,0,0,0,0,0,0,0,82.57,East,9
Duke,20,0.819032266,0.457112286,0.226807138,0.132213313,0.054093535,0.020911284,1,0,0,0,0,0,1,0,0,0,0,0,87.11,East,5
Oral Roberts,21,0.180967734,0.051100857,0.01176036,0.003749913,0.001028507,0.00027601,0,0,0,0,0,0,0,0,0,0,0,0,79.19,East,12
