team_name,team_index,rd1_prob,rd2_prob,rd3_prob,rd4_prob,rd5_prob,rd6_prob,rd1_act,rd2_act,rd3_act,rd4_act,rd5_act,rd6_act,rd1_chalk,rd2_chalk,rd3_chalk,rd4_chalk,rd5_chalk,rd6_chalk,team_rating,team_region,team_seed
Tennessee,22,0.867605166,0.46447596,0.216558932,0.120461533,0.050092156,0.019655047,1,1,0,0,0,0,1,1,0,0,0,0,86.87,East,4
Louisiana-Lafayette,23,0.132394834,0.027310897,0.004410594,0.00104226,0.000234348,5.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,76.35,East,13
Kentucky,24,0.664488072,0.446210806,0.232082894,0.103488249,0.0403046,0.01489318,1,0,0,0,0,0,1,1,0,0,0,0,86.01,East,6
Providence,25,0.335511928,0.183708838,0.087291372,0.035436429,0.010110836,0.002812972,0,0,0,0,0,0,0,0,0,0,0,0,82.77,East,11
Kansas State,26,0.851407907,0.349000831,0.148982154,0.054220715,0.01965016,0.00679898,1,1,1,0,0,0,1,0,0,0,0,0,84.45,East,3
Montana State,27,0.148592093,0.021079525,0.003616481,0.000536806,8.34E-05,1.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,75.32,East,14
Michigan State,28,0.637027038,0.269577385,0.129958942,0.049989247,0.016475147,0.005227568,1,1,0,0,0,0,1,0,0,0,0,0,83.82,East,7
Southern California,29,0.362972962,0.118288891,0.048212049,0.015546101,0.00515164,0.001642771,0,0,0,0,0,0,0,0,0,0,0,0,83.04,East,10
Marquette,30,0.889203263,0.584277017,0.342156839,0.16303435,0.067903797,0.02668303,1,0,0,0,0,0,1,1,1,0,0,0,87.6,East,2
Vermont,31,0.110796737,0.027856708,0.007699268,0.001674804,0.000266962,4.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,76.26,East,15
Houston,32,0.971047547,0.741489232,0.588248324,0.407246851,0.309131289,0.221185763,1,1,0,0,0,0,1,1,1,1,1,1,93.22,Midwest,1
Northern Kentucky,33,0.028952453,0.003638409,0.000675058,0.000101036,1.46E-05,2.21E-06,0,0,0,0,0,0,0,0,0,0,0,0,72.86,Midwest,16
Iowa,34,0.419077203,0.095680581,0.057980839,0.028767929,0.012407938,0.005121342,0,0,0,0,0,0,0,0,0,0,0,0,84.44,Midwest,8
Auburn,35,0.580922797,0.159191778,0.089796666,0.041114016,0.018581055,0.00800653,1,0,0,0,0,0,1,0,0,0,0,0,84.87,Midwest,9
Miami (FL),36,0.594447596,0.264267455,0.061067412,0.023816258,0.009488811,0.00364175,1,1,1,1,0,0,1,0,0,0,0,0,83.6,Midwest,5
Drake,37,0.405552404,0.151522138,0.035333421,0.01387406,0.004622701,0.001507242,0,0,0,0,0,0,0,0,0,0,0,0,81.18,Midwest,12
Indiana,38,0.737316538,0.470208014,0.14871807,0.07279253,0.032620975,0.013947104,1,0,0,0,0,0,1,1,0,0,0,0,85.81,Midwest,4
Kent State,39,0.262683462,0.114002394,0.01818021,0.005311885,0.001465241,0.000402206,0,0,0,0,0,0,0,0,0,0,0,0,79.37,Midwest,13
Iowa State,40,0.640039356,0.341255658,0.142147735,0.053545509,0.022097789,0.008758766,0,0,0,0,0,0,1,0,0,0,0,0,84.52,Midwest,6
Pittsburgh,41,0.359960644,0.153173539,0.038033755,0.008858308,0.002613644,0.000762864,1,0,0,0,0,0,0,0,0,0,0,0,80.22,Midwest,11
Xavier,42,0.874221896,0.48089457,0.170352724,0.055164161,0.021533158,0.008111128,1,1,0,0,0,0,1,1,0,0,0,0,84.36,Midwest,3
Kennesaw State,43,0.125778104,0.024676233,0.002677842,0.000285754,4.44E-05,7.18E-06,0,0,0,0,0,0,0,0,0,0,0,0,73.28,Midwest,14
Texas A&M,44,0.60401245,0.21929161,0.126905114,0.046840074,0.024588281,0.012181632,0,0,0,0,0,0,1,0,0,0,0,0,85.13,Midwest,7
Penn State,45,0.39598755,0.116699701,0.056973259,0.017045891,0.006300934,0.002258272,1,0,0,0,0,0,0,0,0,0,0,0,82.78,Midwest,10
Texas,46,0.921391659,0.646431553,0.458320103,0.224545506,0.141317044,0.083376089,1,1,1,0,0,0,1,1,1,0,0,0,90.08,Midwest,2
Colgate,47,0.078608341,0.017577136,0.004589469,0.000690233,0.000137265,2.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,76.2,Midwest,15
Kansas,48,0.978208685,0.656920532,0.389980839,0.202425028,0.091173643,0.049506039,1,0,0,0,0,0,1,1,1,0,0,0,89.62,West,1
Howard,49,0.021791315,0.001381552,9.69E-05,5.97E-06,3.89E-07,3.66E-08,0,0,0,0,0,0,0,0,0,0,0,0,69.31,West,16
Arkansas,50,0.515279284,0.178697793,0.085600101,0.035465887,0.013545669,0.006415741,1,1,0,0,0,0,1,0,0,0,0,0,85.1,West,8
Illinois,51,0.484720716,0.163000123,0.072760621,0.028047574,0.009726315,0.004245783,0,0,0,0,0,0,0,0,0,0,0,0,84.54,West,9
Saint Mary's (CA),52,0.585061934,0.180580515,0.092029519,0.045208115,0.015539635,0.006732729,1,0,0,0,0,0,1,0,0,0,0,0,85.91,West,5
Virginia Commonwealth,53,0.414938066,0.106666754,0.029900908,0.008531215,0.002286415,0.000798684,0,0,0,0,0,0,0,0,0,0,0,0,81.65,West,12
Connecticut,54,0.846392029,0.645402201,0.314987954,0.148665522,0.061167833,0.030827824,1,1,1,1,1,1,1,1,0,0,0,0,89.24,West,4
Iona,55,0.153607971,0.06735053,0.014643123,0.003315109,0.000709608,0.000202994,0,0,0,0,0,0,0,0,0,0,0,0,79.63,West,13
Texas Christian,56,0.625388191,0.242129179,0.108827993,0.048888839,0.019532792,0.009606693,1,0,0,0,0,0,1,0,0,0,0,0,85.41,West,6
Arizona State,57,0.374611809,0.113154932,0.046806824,0.019469179,0.005384124,0.001933206,0,0,0,0,0,0,0,0,0,0,0,0,82.38,West,11
Gonzaga,58,0.916324146,0.626239816,0.371190634,0.216053519,0.089302097,0.045178307,1,1,1,0,0,0,1,1,1,1,0,0,89.92,West,3
Grand Canyon,59,0.083675854,0.018476073,0.004013509,0.000915853,0.000138197,2.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,75.9,West,14
Northwestern,60,0.412673796,0.109557862,0.03344452,0.011531431,0.003318442,0.001233641,1,0,0,0,0,0,0,0,0,0,0,0,82.24,West,7
Boise State,61,0.587326204,0.187608998,0.064904927,0.024960971,0.006426297,0.002166833,0,0,0,0,0,0,1,0,0,0,0,0,82.59,West,10
UCLA,62,0.954593616,0.695641022,0.370125145,0.20643389,0.074773964,0.033869165,1,1,0,0,0,0,1,1,0,0,0,0,88.26,West,2
North Carolina-Asheville,63,0.045406384,0.007192118,0.000686448,8.19E-05,9.43E-06,1.52E-06,0,0,0,0,0,0,0,0,0,0,0,0,73.02,West,15
