team_name,team_index,rd1_prob,rd2_prob,rd3_prob,rd4_prob,rd5_prob,rd6_prob,rd1_act,rd2_act,rd3_act,rd4_act,rd5_act,rd6_act,rd1_chalk,rd2_chalk,rd3_chalk,rd4_chalk,rd5_chalk,rd6_chalk,team_rating,team_region,team_seed
Gonzaga,0,0.988339637,0.892897868,0.770568967,0.618638068,0.41748161,0.27187794,1,1,0,0,0,0,1,1,1,1,1,1,96.46,West,1
Georgia State,1,0.011660363,0.001655318,0.000266501,3.73E-05,5.92E-06,1.02E-06,0,0,0,0,0,0,0,0,0,0,0,0,73.46,West,16
Boise State,2,0.482763608,0.049709728,0.025169859,0.010905644,0.003320686,0.001039547,0,0,0,0,0,0,0,0,0,0,0,0,82.49,West,8
Memphis,3,0.517236392,0.055737086,0.029833987,0.013698625,0.006225554,0.002800262,1,0,0,0,0,0,1,0,0,0,0,0,84.91,West,9
Connecticut,4,0.862753432,0.485379027,0.082074256,0.037550823,0.015962547,0.006757129,0,0,0,0,0,0,1,1,0,0,0,0,86.37,West,5
New Mexico State,5,0.137246568,0.030684102,0.002649305,0.000738219,0.000170013,4.13E-05,1,0,0,0,0,0,0,0,0,0,0,0,77.68,West,12
Arkansas,6,0.717856125,0.382436143,0.079885566,0.041796381,0.020746476,0.010114888,1,1,1,0,0,0,1,0,0,0,0,0,86.77,West,4
Vermont,7,0.282143875,0.101500728,0.009551558,0.002850492,0.000797644,0.000231296,0,0,0,0,0,0,0,0,0,0,0,0,80.32,West,13
Alabama,8,0.632511355,0.237916154,0.108966499,0.024861723,0.011829482,0.005548349,0,0,0,0,0,0,1,0,0,0,0,0,85.15,West,6
Notre Dame,9,0.367488645,0.105697197,0.039063825,0.006972572,0.002466496,0.000884235,1,0,0,0,0,0,0,0,0,0,0,0,82.1,West,11
Texas Tech,10,0.926978076,0.641436107,0.371371029,0.114002318,0.057924176,0.028853121,1,1,0,0,0,0,1,1,0,0,0,0,88.7,West,3
Montana State,11,0.073021924,0.014950542,0.00270014,0.000227503,3.17E-05,4.84E-06,0,0,0,0,0,0,0,0,0,0,0,0,74.3,West,14
Michigan State,12,0.514157621,0.150212841,0.058162869,0.011708655,0.004534027,0.001763908,1,0,0,0,0,0,1,0,0,0,0,0,83.46,West,7
Davidson,13,0.485842379,0.137707774,0.043843435,0.007149507,0.002499051,0.000886288,0,0,0,0,0,0,0,0,0,0,0,0,81.83,West,10
Duke,14,0.970644764,0.708911488,0.375459326,0.108832337,0.057594049,0.029786034,1,1,1,1,0,0,1,1,1,0,0,0,89.28,West,2
Cal State Fullerton,15,0.029355236,0.003167898,0.000432877,2.98E-05,3.01E-06,3.38E-07,0,0,0,0,0,0,0,0,0,0,0,0,71.78,West,15
Baylor,16,0.96301402,0.697912844,0.342573296,0.13144164,0.049821222,0.02409685,1,0,0,0,0,0,1,1,0,0,0,0,87.66,East,1
Norfolk State,17,0.03698598,0.004816873,0.000629102,6.36E-05,4.72E-06,5.55E-07,0,0,0,0,0,0,0,0,0,0,0,0,71.39,East,16
North Carolina,18,0.579302447,0.184244138,0.087865982,0.032677246,0.009531338,0.00374475,1,1,1,1,1,0,1,0,0,0,0,0,83.99,East,8
Marquette,19,0.420697553,0.113026146,0.04322289,0.012740842,0.003136196,0.001072193,0,0,0,0,0,0,0,0,0,0,0,0,81.9,East,9
Saint Mary's (CA),20,0.606427713,0.216562176,0.088358843,0.026043342,0.007031133,0.002593948,1,0,0,0,0,0,1,0,0,0,0,0,84.34,East,5
Indiana,21,0.393572287,0.113289503,0.054128891,0.01890052,0.005624013,0.00224552,0,0,0,0,0,0,0,0,0,0,0,0,83.43,East,12
