team_name,team_index,rd1_prob,rd2_prob,rd3_prob,rd4_prob,rd5_prob,rd6_prob,rd1_act,rd2_act,rd3_act,rd4_act,rd5_act,rd6_act,rd1_chalk,rd2_chalk,rd3_chalk,rd4_chalk,rd5_chalk,rd6_chalk,team_rating,team_region,team_seed
Gonzaga,0,0.992204461,0.911513583,0.733700749,0.554088038,0.42940344,0.279087597,1,1,1,1,1,0,1,1,1,1,1,1,96.52,West,1
Norfolk State,1,0.007795539,0.000918896,6.39E-05,4.52E-06,4.28E-07,3.12E-08,0,0,0,0,0,0,0,0,0,0,0,0,68.88,West,16
Oklahoma,2,0.47030284,0.039426949,0.016904186,0.006743071,0.003059731,0.001055005,1,0,0,0,0,0,0,0,0,0,0,0,81.17,West,8
Missouri,3,0.52969716,0.048140571,0.017270692,0.005827792,0.002294736,0.000682888,0,0,0,0,0,0,1,0,0,0,0,0,81.85,West,9
Creighton,4,0.818708353,0.413032018,0.095642043,0.047096576,0.025488881,0.010634488,1,1,0,0,0,0,1,0,0,0,0,0,87,West,5
UC-Santa Barbara,5,0.181291647,0.043862945,0.004215331,0.001072858,0.000330986,7.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,78.41,West,12
Virginia,6,0.864190547,0.509315198,0.129318612,0.067540813,0.038388767,0.016924804,0,0,0,0,0,0,1,1,0,0,0,0,88.07,West,4
Ohio,7,0.135809453,0.033789839,0.002884461,0.000664313,0.000187673,4.00E-05,1,0,0,0,0,0,0,0,0,0,0,0,77.51,West,13
Southern California,8,0.790674148,0.460453521,0.177756455,0.044576924,0.021898007,0.008216785,1,1,1,0,0,0,1,1,0,0,0,0,85.76,West,6
Drake,9,0.209325852,0.069598984,0.013760842,0.001722694,0.000504034,0.00011128,0,0,0,0,0,0,0,0,0,0,0,0,78.18,West,11
Kansas,10,0.82824197,0.429181952,0.204314914,0.064637899,0.036892469,0.016342611,1,0,0,0,0,0,1,0,0,0,0,0,85.04,West,3
Eastern Washington,11,0.17175803,0.040765543,0.006283443,0.000611597,0.000145238,2.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,76.07,West,14
Oregon,12,0.624959735,0.192295646,0.092560759,0.02224047,0.010613217,0.003860422,1,1,0,0,0,0,1,0,0,0,0,0,84.6,West,7
Virginia Commonwealth,13,0.375040265,0.087786764,0.034508014,0.00646073,0.002582275,0.000780329,0,0,0,0,0,0,0,0,0,0,0,0,81.69,West,10
Iowa,14,0.943889038,0.708216859,0.468616023,0.176530623,0.11180469,0.055939433,1,0,0,0,0,0,1,1,1,0,0,0,90.81,West,2
Grand Canyon,15,0.056110962,0.011700731,0.002199549,0.000181084,3.72E-05,5.82E-06,0,0,0,0,0,0,0,0,0,0,0,0,74.72,West,15
Michigan,16,0.964090839,0.621324471,0.369136363,0.203169552,0.070930395,0.030857426,1,1,1,0,0,0,1,1,1,0,0,0,88.64,East,1
Texas Southern,17,0.035909161,0.003276422,0.000314651,3.02E-05,1.71E-06,1.46E-07,0,0,0,0,0,0,0,0,0,0,0,0,69.88,East,16
Louisiana State,18,0.595085068,0.239744228,0.120716025,0.056436867,0.016224051,0.006012928,1,0,0,0,0,0,1,0,0,0,0,0,85.07,East,8
