team_name,team_index,rd1_prob,rd2_prob,rd3_prob,rd4_prob,rd5_prob,rd6_prob,rd1_act,rd2_act,rd3_act,rd4_act,rd5_act,rd6_act,rd1_chalk,rd2_chalk,rd3_chalk,rd4_chalk,rd5_chalk,rd6_chalk,team_region,team_seed
Florida,0,0.987703989,0.839049036,0.624133084,0.410777534,0.260840351,0.144554141,1,1,1,1,0,0,1,1,1,1,1,0,South,1
Albany,1,0.012296011,0.002050945,0.000282687,3.18E-05,3.86E-06,3.95E-07,0,0,0,0,0,0,0,0,0,0,0,0,South,16
Colorado,2,0.275715272,0.022491327,0.007783014,0.002209009,0.000700652,0.000186322,0,0,0,0,0,0,0,0,0,0,0,0,South,8
Pittsburgh,3,0.724284728,0.136408691,0.07068327,0.030772837,0.012896321,0.00455574,1,0,0,0,0,0,1,0,0,0,0,0,South,9
Virginia Commonwealth,4,0.764132213,0.286663249,0.095729146,0.045016728,0.02049724,0.007905315,0,0,0,0,0,0,1,0,0,0,0,0,South,5
Stephen F. Austin,5,0.235867787,0.041831022,0.006243163,0.001590131,0.000469734,0.000116181,1,0,0,0,0,0,0,0,0,0,0,0,South,12
UCLA,6,0.870759407,0.62692155,0.187918957,0.081246355,0.037399143,0.014555603,1,1,0,0,0,0,1,1,0,0,0,0,South,4
Tulsa,7,0.129240593,0.044584178,0.007226679,0.001964012,0.000595909,0.00015146,0,0,0,0,0,0,0,0,0,0,0,0,South,13
Ohio State,8,0.753055787,0.401518129,0.200232557,0.085959336,0.041562265,0.017073977,0,0,0,0,0,0,1,0,0,0,0,0,South,6
Dayton,9,0.246944213,0.076553417,0.022925654,0.005755092,0.001740743,0.000439359,1,1,1,0,0,0,0,0,0,0,0,0,South,11
Syracuse,10,0.88304689,0.499870195,0.224920012,0.08627366,0.038478997,0.014472957,1,0,0,0,0,0,1,1,0,0,0,0,South,3
Western Michigan,11,0.11695311,0.022058258,0.003751489,0.000527713,9.83E-05,1.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,South,14
New Mexico,12,0.637537836,0.221612022,0.097342755,0.032273625,0.014238123,0.005315176,0,0,0,0,0,0,1,0,0,0,0,0,South,7
Stanford,13,0.362462164,0.089184577,0.029166681,0.007013218,0.002338747,0.000652891,1,1,0,0,0,0,0,0,0,0,0,0,South,10
Kansas,14,0.924028936,0.670385181,0.41831739,0.208163518,0.122313329,0.062163152,1,0,0,0,0,0,1,1,1,0,0,0,South,2
Eastern Kentucky,15,0.075971064,0.01881822,0.003343463,0.000425404,6.96E-05,9.49E-06,0,0,0,0,0,0,0,0,0,0,0,0,South,15
Virginia,16,0.963891641,0.707824942,0.389376291,0.232918785,0.120847928,0.060180218,1,1,0,0,0,0,1,1,0,0,0,0,East,1
Coastal Carolina,17,0.036108359,0.00566967,0.000410316,4.13E-05,3.08E-06,2.49E-07,0,0,0,0,0,0,0,0,0,0,0,0,East,16
Memphis,18,0.550041201,0.166598237,0.059218027,0.024272861,0.008333664,0.002794201,1,0,0,0,0,0,1,0,0,0,0,0,East,8
George Washington,19,0.449958799,0.119907151,0.035970208,0.012713812,0.003301433,0.000848857,0,0,0,0,0,0,0,0,0,0,0,0,East,9
Cincinnati,20,0.580155795,0.19540511,0.078804309,0.034817028,0.012362776,0.004275926,0,0,0,0,0,0,1,0,0,0,0,0,East,5
Harvard,21,0.419844205,0.116475779,0.042654482,0.017296343,0.004886232,0.00136005,1,0,0,0,0,0,0,0,0,0,0,0,East,12
Michigan State,22,0.911785445,0.664471097,0.388877846,0.239835996,0.12147227,0.059060183,1,1,1,0,0,0,1,1,1,1,0,0,East,4
Delaware,23,0.088214555,0.023648014,0.004688522,0.001094169,0.000178359,2.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,East,13
North Carolina,24,0.679637368,0.363762161,0.158570534,0.06394875,0.023474269,0.008365001,1,0,0,0,0,0,1,0,0,0,0,0,East,6
Providence,25,0.320362632,0.121140229,0.038846851,0.011582202,0.002854111,0.000698488,0,0,0,0,0,0,0,0,0,0,0,0,East,11
Iowa State,26,0.812359445,0.463801514,0.20333385,0.082385521,0.032169843,0.012157115,1,1,0,0,0,0,1,1,0,0,0,0,East,3
North Carolina Central,27,0.187640555,0.051296096,0.010147442,0.001892327,0.000328357,5.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,East,14
Connecticut,28,0.673010096,0.263145196,0.14140434,0.057765749,0.019854854,0.00664163,1,1,1,1,1,1,1,0,0,0,0,0,East,7
Saint Joseph's,29,0.326989904,0.083539258,0.032306717,0.00901254,0.002117394,0.000495613,0,0,0,0,0,0,0,0,0,0,0,0,East,10
Villanova,30,0.947195368,0.644579938,0.413875184,0.210245655,0.093551982,0.04002416,1,0,0,0,0,0,1,1,1,0,0,0,East,2
Milwaukee,31,0.052804632,0.008735608,0.001515082,0.00017696,2.01E-05,2.41E-06,0,0,0,0,0,0,0,0,0,0,0,0,East,15
Arizona,32,0.97769524,0.726876539,0.58211014,0.42391684,0.230737199,0.13351464,1,1,1,0,0,0,1,1,1,1,0,0,West,1
Weber State,33,0.02230476,0.002656332,0.000568049,9.29E-05,8.32E-06,1.02E-06,0,0,0,0,0,0,0,0,0,0,0,0,West,16
Gonzaga,34,0.479870069,0.12619104,0.077161928,0.040420618,0.014169383,0.005608171,1,0,0,0,0,0,0,0,0,0,0,0,West,8
Oklahoma State,35,0.520129931,0.144276088,0.089695661,0.047909273,0.022201693,0.011219147,0,0,0,0,0,0,1,0,0,0,0,0,West,9
Oklahoma,36,0.637908924,0.334150742,0.076682365,0.031541288,0.011371315,0.004614255,0,0,0,0,0,0,1,0,0,0,0,0,West,5
North Dakota State,37,0.362091076,0.145878994,0.019494647,0.005476073,0.001083357,0.000261763,1,0,0,0,0,0,0,0,0,0,0,0,West,12
San Diego State,38,0.745488809,0.431128699,0.142917343,0.075504586,0.021254958,0.006920524,1,1,0,0,0,0,1,1,0,0,0,0,West,4
New Mexico State,39,0.254511191,0.088841565,0.011369867,0.003100964,0.000561858,0.000126039,0,0,0,0,0,0,0,0,0,0,0,0,West,13
Baylor,40,0.703236757,0.338102692,0.143482608,0.044268181,0.017872989,0.008000559,1,1,0,0,0,0,1,0,0,0,0,0,West,6
Nebraska,41,0.296763243,0.091637777,0.029179592,0.006608606,0.00169517,0.000513705,0,0,0,0,0,0,0,0,0,0,0,0,West,11
Creighton,42,0.883050561,0.543847562,0.296961249,0.122176198,0.054070888,0.026149127,1,0,0,0,0,0,1,1,0,0,0,0,West,3
Louisiana-Lafayette,43,0.116949439,0.026411969,0.004201829,0.000464629,7.04E-05,1.36E-05,0,0,0,0,0,0,0,0,0,0,0,0,West,14
Oregon,44,0.647316513,0.191415758,0.098726923,0.035641679,0.011002051,0.003894696,1,0,0,0,0,0,1,0,0,0,0,0,West,7
Brigham Young,45,0.352683487,0.069537752,0.026665245,0.006772653,0.001526737,0.000413083,0,0,0,0,0,0,0,0,0,0,0,0,West,10
Wisconsin,46,0.928405222,0.718357824,0.397222983,0.155732832,0.065599104,0.03033275,1,1,1,1,0,0,1,1,1,0,0,0,West,2
American University,47,0.071594778,0.020688666,0.003559572,0.000372635,4.66E-05,7.63E-06,0,0,0,0,0,0,0,0,0,0,0,0,West,15
Wichita State,48,0.975453921,0.591415205,0.243995104,0.135567505,0.079116043,0.045122311,1,0,0,0,0,0,1,1,0,0,0,0,Midwest,1
Cal Poly,49,0.024546079,0.001766219,8.23E-05,6.77E-06,7.66E-07,9.45E-08,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,16
Kentucky,50,0.739316299,0.34026022,0.142251947,0.080003447,0.039560031,0.019201319,1,1,1,1,1,0,1,0,0,0,0,0,Midwest,8
Kansas State,51,0.260683701,0.066558357,0.013983112,0.004485467,0.001565072,0.000546801,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,9
Saint Louis,52,0.580465059,0.120455731,0.041538407,0.016290497,0.006030195,0.002219866,1,0,0,0,0,0,1,0,0,0,0,0,Midwest,5
North Carolina State,53,0.419534941,0.06963305,0.016972268,0.004991898,0.001400131,0.000401101,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,12
Louisville,54,0.930702991,0.784236992,0.536532509,0.380555562,0.24063191,0.148359861,1,1,0,0,0,0,1,1,1,1,1,1,Midwest,4
Manhattan,55,0.069297009,0.025674228,0.004644333,0.001050246,0.000225152,4.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,13
Massachusetts,56,0.294573469,0.056982986,0.019293554,0.003793495,0.001057735,0.000298275,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,6
Tennessee,57,0.705426531,0.241660204,0.127464151,0.044429276,0.019609909,0.008575892,1,1,0,0,0,0,1,0,0,0,0,0,Midwest,11
Duke,58,0.92916605,0.683485419,0.415466594,0.17461258,0.089492246,0.044854887,0,0,0,0,0,0,1,1,1,0,0,0,Midwest,3
Mercer,59,0.07083395,0.017871391,0.004078648,0.000497781,0.00010098,2.12E-05,1,0,0,0,0,0,0,0,0,0,0,0,Midwest,14
Texas,60,0.501186612,0.12598118,0.032428092,0.006045779,0.002239679,0.00082776,1,0,0,0,0,0,1,0,0,0,0,0,Midwest,7
Arizona State,61,0.498813388,0.12498638,0.03125837,0.005651958,0.001842428,0.000602466,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,10
Michigan,62,0.953947339,0.738941444,0.369116101,0.141961793,0.063849477,0.028167733,1,1,1,0,0,0,1,1,0,0,0,0,Midwest,2
Wofford,63,0.046052661,0.010090997,0.000894489,5.59E-05,6.16E-06,7.31E-07,0,0,0,0,0,0,0,0,0,0,0,0,Midwest,15
