team_name,team_index,rd1_prob,rd2_prob,rd3_prob,rd4_prob,rd5_prob,rd6_prob,rd1_act,rd2_act,rd3_act,rd4_act,rd5_act,rd6_act,rd1_chalk,rd2_chalk,rd3_chalk,rd4_chalk,rd5_chalk,rd6_chalk,team_rating,team_region,team_seed
UC-Irvine,39,0.233375666,0.071177114,0.006111064,0.000971059,0.00019088,3.17E-05,1,0,0,0,0,0,0,0,0,0,0,0,78.36,South,13
Villanova,40,0.752671355,0.390544905,0.148670882,0.048236918,0.020356284,0.007164165,1,0,0,0,0,0,1,0,0,0,0,0,86.96,South,6
Saint Mary's (CA),41,0.247328645,0.078327583,0.020556445,0.004720205,0.001641347,0.000476224,0,0,0,0,0,0,0,0,0,0,0,0,83.58,South,11
Purdue,42,0.880954341,0.506146028,0.248497224,0.102969987,0.052164143,0.022144049,1,1,1,0,0,0,1,1,0,0,0,0,89.04,South,3
Old Dominion,43,0.119045659,0.024981485,0.003621364,0.000479721,8.84E-05,1.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,76.98,South,14
Cincinnati,44,0.676901805,0.228691031,0.109691831,0.036514807,0.014440923,0.004761396,0,0,0,0,0,0,1,0,0,0,0,0,85.44,South,7
Iowa,45,0.323098195,0.073558729,0.026239668,0.006412181,0.002360138,0.000724427,1,0,0,0,0,0,0,0,0,0,0,0,82.36,South,10
Tennessee,46,0.949730551,0.688962368,0.441466892,0.205959064,0.110637675,0.04996195,1,1,0,0,0,0,1,1,1,0,0,0,91.34,South,2
Colgate,47,0.050269449,0.008787872,0.001255694,0.000125275,1.86E-05,2.35E-06,0,0,0,0,0,0,0,0,0,0,0,0,74.95,South,15
North Carolina,48,0.977912625,0.862688419,0.567248609,0.351064506,0.178717242,0.087316713,1,1,0,0,0,0,1,1,1,1,0,0,93.24,Midwest,1
Iona,49,0.022087375,0.004434089,0.000386727,3.45E-05,2.59E-06,2.08E-07,0,0,0,0,0,0,0,0,0,0,0,0,71.88,Midwest,16
